127.0.0.1 - - [26/Jul/2024:19:23:47 +0900] "GET / HTTP/1.1" 200 11437
0:0:0:0:0:0:0:1 - - [26/Jul/2024:19:23:49 +0900] "GET /kkodamkkodam/board/mini.jsp HTTP/1.1" 200 25206
0:0:0:0:0:0:0:1 - - [26/Jul/2024:19:23:49 +0900] "GET /kkodamkkodam/resources/css/default.css HTTP/1.1" 200 2578
0:0:0:0:0:0:0:1 - - [26/Jul/2024:19:23:49 +0900] "GET /kkodamkkodam/resources/css/footer.css HTTP/1.1" 200 600
0:0:0:0:0:0:0:1 - - [26/Jul/2024:19:23:49 +0900] "GET /kkodamkkodam/resources/css/header.css HTTP/1.1" 200 2142
0:0:0:0:0:0:0:1 - - [26/Jul/2024:19:23:49 +0900] "GET /kkodamkkodam/resources/js/bootstrap.min.js HTTP/1.1" 200 39685
0:0:0:0:0:0:0:1 - - [26/Jul/2024:19:23:49 +0900] "GET /kkodamkkodam/resources/css/bootstrap.min.css HTTP/1.1" 200 121462
0:0:0:0:0:0:0:1 - - [26/Jul/2024:19:23:49 +0900] "GET /kkodamkkodam/resources/js/jquery.js HTTP/1.1" 200 95788
0:0:0:0:0:0:0:1 - - [26/Jul/2024:19:23:49 +0900] "GET /kkodamkkodam/resources/img/logo.png HTTP/1.1" 200 49981
0:0:0:0:0:0:0:1 - - [26/Jul/2024:19:23:49 +0900] "GET /kkodamkkodam/resources/css/mini.css HTTP/1.1" 200 4804
0:0:0:0:0:0:0:1 - - [26/Jul/2024:19:23:49 +0900] "GET /kkodamkkodam/resources/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
0:0:0:0:0:0:0:1 - - [26/Jul/2024:19:23:53 +0900] "GET /kkodamkkodam/board/post_write_mini.jsp HTTP/1.1" 200 8161
0:0:0:0:0:0:0:1 - - [26/Jul/2024:19:23:53 +0900] "GET /kkodamkkodam/resources/css/post_write_mini.css HTTP/1.1" 200 4431
0:0:0:0:0:0:0:1 - - [26/Jul/2024:19:23:56 +0900] "GET /kkodamkkodam/board/post_list.jsp HTTP/1.1" 200 7455
0:0:0:0:0:0:0:1 - - [26/Jul/2024:19:23:56 +0900] "GET /kkodamkkodam/board/img/slide02.png HTTP/1.1" 404 854
0:0:0:0:0:0:0:1 - - [26/Jul/2024:19:23:56 +0900] "GET /kkodamkkodam/board/img/slide01.jpg HTTP/1.1" 404 854
0:0:0:0:0:0:0:1 - - [26/Jul/2024:19:23:56 +0900] "GET /kkodamkkodam/board/img/slide04.png HTTP/1.1" 404 854
0:0:0:0:0:0:0:1 - - [26/Jul/2024:19:23:56 +0900] "GET /kkodamkkodam/board/img/slide03.jpg HTTP/1.1" 404 854
0:0:0:0:0:0:0:1 - - [26/Jul/2024:19:23:56 +0900] "GET /kkodamkkodam/resources/css/post_list.css HTTP/1.1" 200 1475
0:0:0:0:0:0:0:1 - - [26/Jul/2024:19:23:58 +0900] "GET /kkodamkkodam/board/mini.jsp HTTP/1.1" 200 25206
0:0:0:0:0:0:0:1 - - [26/Jul/2024:19:24:00 +0900] "GET /kkodamkkodam/board/list.board HTTP/1.1" 200 8355
0:0:0:0:0:0:0:1 - - [26/Jul/2024:19:24:00 +0900] "GET /kkodamkkodam/board/img/slide01.jpg HTTP/1.1" 404 854
0:0:0:0:0:0:0:1 - - [26/Jul/2024:19:24:00 +0900] "GET /kkodamkkodam/board/img/slide02.png HTTP/1.1" 404 854
0:0:0:0:0:0:0:1 - - [26/Jul/2024:19:24:00 +0900] "GET /kkodamkkodam/board/img/slide03.jpg HTTP/1.1" 404 854
0:0:0:0:0:0:0:1 - - [26/Jul/2024:19:24:00 +0900] "GET /kkodamkkodam/board/img/slide04.png HTTP/1.1" 404 854
0:0:0:0:0:0:0:1 - - [26/Jul/2024:19:24:01 +0900] "GET /kkodamkkodam/board/list.board HTTP/1.1" 200 8355
0:0:0:0:0:0:0:1 - - [26/Jul/2024:19:24:01 +0900] "GET /kkodamkkodam/board/img/slide01.jpg HTTP/1.1" 404 854
0:0:0:0:0:0:0:1 - - [26/Jul/2024:19:24:01 +0900] "GET /kkodamkkodam/board/img/slide02.png HTTP/1.1" 404 854
0:0:0:0:0:0:0:1 - - [26/Jul/2024:19:24:01 +0900] "GET /kkodamkkodam/board/img/slide03.jpg HTTP/1.1" 404 854
0:0:0:0:0:0:0:1 - - [26/Jul/2024:19:24:01 +0900] "GET /kkodamkkodam/board/img/slide04.png HTTP/1.1" 404 854
0:0:0:0:0:0:0:1 - - [26/Jul/2024:19:24:02 +0900] "GET /kkodamkkodam/board/getContent.board?postNo=1&boardId=1 HTTP/1.1" 200 9203
0:0:0:0:0:0:0:1 - - [26/Jul/2024:19:24:02 +0900] "GET /kkodamkkodam/resources/img/userCircle.png HTTP/1.1" 200 8619
0:0:0:0:0:0:0:1 - - [26/Jul/2024:19:24:02 +0900] "GET /kkodamkkodam/resources/css/post_view.css HTTP/1.1" 200 2096
0:0:0:0:0:0:0:1 - - [26/Jul/2024:19:34:05 +0900] "GET /kkodamkkodam/board/vote.jsp HTTP/1.1" 200 8908
